	popularity	popularity	popularity	popularity	popularity	popularity	popularity	popularity	runtime	runtime	runtime	runtime	runtime	runtime	runtime	runtime	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_average	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count	vote_count
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
release_year																																
1968	39.0	0.4842016923076922	0.5527887359124571	0.005265	0.177678	0.323826	0.6657329999999995	3.309196	39.0	107.28205128205128	34.94503105852836	4.0	95.5	107.0	132.0	155.0	39.0	6.379487179487179	0.6013928951234734	5.4	5.95	6.3	6.9	7.7	39.0	108.12820512820512	283.1881631750931	10.0	13.5	29.0	65.0	1708.0
1969	31.0	0.4227782903225807	0.37982662887069885	0.002757	0.18164200000000003	0.33743	0.548311	1.778746	31.0	106.58064516129032	33.198166810381146	2.0	91.0	105.0	128.5	158.0	31.0	5.961290322580646	0.9013609781343022	3.9	5.4	6.0	6.7	7.3	31.0	55.903225806451616	82.94028166446415	10.0	12.5	19.0	43.5	379.0
1970	41.0	0.3416996585365853	0.3018519292135309	0.02076	0.194705	0.284436	0.3881	1.9369619999999999	41.0	112.04878048780488	31.656714311115895	48.0	95.0	109.0	121.0	225.0	41.0	6.417073170731706	0.7745651809319829	3.0	6.2	6.5	6.7	7.6	41.0	49.048780487804876	100.69333424301534	10.0	13.0	19.0	33.0	625.0
1971	55.0	0.44811187272727254	0.5450794162968888	0.000188	0.1419725	0.306073	0.541644	3.072555	55.0	107.72727272727273	21.278971140414964	73.0	98.0	103.0	114.0	189.0	55.0	6.420000000000001	0.7801709214439274	2.9	6.1	6.5	7.0	7.7	55.0	92.38181818181818	247.13802493142032	10.0	15.5	31.0	69.0	1786.0
1972	40.0	0.4490540500000001	0.8824006939531918	0.024345	0.18397349999999973	0.26553	0.417693	5.738034	40.0	101.95	19.666384178762165	78.0	88.0	93.5	110.0	175.0	40.0	6.534999999999998	0.688569680662898	5.3	6.0	6.5	7.0	8.3	40.0	135.825	623.1368079404845	10.0	12.75	19.0	50.25	3970.0
1973	55.0	0.4944621636363637	0.44741727011853766	0.021941	0.2020355	0.38388	0.6527775	2.2724860000000002	55.0	103.52727272727273	18.19427519390783	25.0	93.5	103.0	112.0	151.0	55.0	6.703636363636363	0.6339072359883453	4.8	6.5	6.8	7.05	7.7	55.0	94.05454545454545	176.42965424106825	10.0	14.5	31.0	107.5	1113.0
1974	47.0	0.4478293191489361	0.549779252212713	0.02967	0.18090300000000004	0.31064	0.45238	3.264571	47.0	105.61702127659575	28.18923105471412	5.0	92.0	105.0	116.5	200.0	47.0	6.395744680851062	0.7497702392439128	4.8	6.0	6.4	6.85	8.1	47.0	110.7872340425532	319.5908346192329	10.0	15.0	26.0	48.5	2131.0
1975	44.0	0.5194445681818178	0.6606838366198432	0.017468	0.17547225	0.3158835	0.51677225	3.258151	44.0	107.36363636363636	20.289865621399787	72.0	93.75	100.0	119.0	184.0	44.0	6.3909090909090915	0.7482749717876481	3.8	5.9	6.4	6.925000000000001	8.0	44.0	138.36363636363637	350.1844092865922	10.0	14.75	23.0	52.5	1612.0
1976	47.0	0.4745162978723402	0.5104782582152917	0.002381	0.19467099999999998	0.328263	0.5671035	2.5826569999999998	47.0	109.31914893617021	17.373275808074386	80.0	95.0	104.0	123.0	139.0	47.0	6.340425531914896	0.7282079177733947	4.6	5.9	6.4	6.9	7.8	47.0	100.42553191489361	233.61988307661795	10.0	14.0	27.0	75.0	1269.0
1977	57.0	0.6263868070175438	1.5974075505481582	0.002457	0.140163	0.31235799999999997	0.520725	12.037933	57.0	107.10526315789474	23.364108777083036	48.0	93.0	101.0	120.0	177.0	57.0	6.147368421052632	0.7483565954710111	4.6	5.7	6.1	6.5	7.9	57.0	140.89473684210526	588.858905129553	10.0	12.0	25.0	49.0	4428.0
1978	65.0	0.413314353846154	0.3713209055499295	0.044675	0.154407	0.296883	0.496029	1.697618	65.0	110.07692307692308	17.133946287549037	76.0	100.0	109.0	117.0	183.0	65.0	6.130769230769232	0.8917894715337592	3.1	5.8	6.1	6.7	8.0	65.0	75.35384615384615	141.91606572738146	10.0	13.0	30.0	51.0	786.0
1979	57.0	0.5893116140350877	0.7816101698883428	0.019263	0.16432	0.360116	0.5677760000000001	4.935897	57.0	112.01754385964912	20.616819787381456	78.0	96.0	110.0	121.0	184.0	57.0	6.308771929824565	0.9287627526050808	3.0	5.9	6.2	7.0	7.8	57.0	154.91228070175438	400.9847824286457	10.0	14.0	33.0	65.0	2724.0
1980	78.0	0.4956523846153846	0.7192024140912681	0.031132999999999997	0.15574925	0.2862635	0.5720217499999993	5.488441000000001	78.0	107.5	19.304632375904784	74.0	96.0	104.5	115.75	219.0	78.0	6.160256410256411	0.7326060480992644	3.6	5.8	6.2	6.5	8.0	78.0	139.71794871794873	498.15490464744954	10.0	15.25	27.5	50.25	3954.0
1981	82.0	0.44241310975609716	0.5953527456873625	0.046679000000000005	0.15770099999999973	0.280764	0.49564525000000004	4.5783	82.0	105.86585365853658	21.781044083354587	55.0	91.25	100.5	115.0	195.0	82.0	6.1658536585365855	0.7850799302225867	4.2	5.8	6.25	6.6	8.5	82.0	91.21951219512195	288.11537574039795	10.0	13.0	20.5	63.5	2506.0
1982	81.0	0.543352950617284	0.6519016869337718	0.0036590000000000004	0.174119	0.37483	0.608984	4.215642	81.0	103.92592592592592	23.97122117132217	6.0	92.0	103.0	116.0	191.0	81.0	6.241975308641975	0.8482134456507489	3.0	5.7	6.2	7.0	7.9	81.0	140.55555555555554	333.48673137023013	10.0	15.0	31.0	99.0	2110.0
1983	80.0	0.5414446749999998	0.6745684688779926	0.00212	0.20983249999999998	0.353356	0.579059	4.828854	80.0	103.0	25.67863713407102	13.0	91.0	99.5	110.0	197.0	80.0	5.971250000000003	1.031429357245246	2.7	5.3	6.1	6.624999999999999	8.1	80.0	123.575	393.11617038443154	10.0	17.0	29.0	75.0	3101.0
1984	105.0	0.5908430571428573	0.6699875679565577	0.059713	0.222379	0.367854	0.627167	4.831966	105.0	103.46666666666667	23.9904094085479	2.0	92.0	101.0	112.0	229.0	105.0	6.003809523809525	0.8871869772492905	3.6	5.6	6.1	6.6	8.4	105.0	146.3904761904762	355.3664818843869	10.0	15.0	37.0	101.0	2692.0
1985	109.0	0.5840582935779816	0.6915595095043214	6.500000000000001e-05	0.22565	0.393705	0.688022	6.095293	109.0	114.33944954128441	64.60194644807055	77.0	93.0	101.0	115.0	566.0	109.0	6.1770642201834844	0.7616542702033927	4.3	5.7	6.2	6.7	8.3	109.0	126.24770642201835	388.01057536092117	10.0	18.0	36.0	100.0	3785.0
